kernel;c_value;iteration;class;precision;recall;f1;accuracy
linear;1.00;1;0;0.9765;0.9901;0.9832;0.9857
linear;1.00;1;1;0.9996;0.9994;0.9995;0.9997
linear;1.00;1;2;0.9866;0.9679;0.9771;0.9860
linear;1.00;2;0;0.9745;0.9900;0.9822;0.9848
linear;1.00;2;1;0.9980;1.0000;0.9990;0.9995
linear;1.00;2;2;0.9877;0.9646;0.9760;0.9853
linear;1.00;3;0;0.9770;0.9902;0.9836;0.9860
linear;1.00;3;1;0.9994;0.9998;0.9996;0.9998
linear;1.00;3;2;0.9869;0.9683;0.9775;0.9862
linear;1.00;4;0;0.9782;0.9883;0.9832;0.9857
linear;1.00;4;1;0.9982;1.0000;0.9991;0.9995
linear;1.00;4;2;0.9854;0.9698;0.9775;0.9862
linear;1.00;5;0;0.9748;0.9902;0.9824;0.9850
linear;1.00;5;1;0.9992;0.9998;0.9995;0.9997
linear;1.00;5;2;0.9871;0.9651;0.9760;0.9853
