kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
rbf;1.00;1;1;0;0.9822;0.9857;0.9839;0.9864
rbf;1.00;1;1;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;1;1;2;0.9805;0.9755;0.9780;0.9864
rbf;1.00;scale;1;0;0.9832;0.9853;0.9842;0.9866
rbf;1.00;scale;1;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;scale;1;2;0.9798;0.9769;0.9784;0.9866
rbf;1.00;1;2;0;0.9837;0.9882;0.9860;0.9881
rbf;1.00;1;2;1;0.9996;1.0000;0.9998;0.9999
rbf;1.00;1;2;2;0.9841;0.9776;0.9809;0.9882
rbf;1.00;scale;2;0;0.9850;0.9887;0.9868;0.9888
rbf;1.00;scale;2;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;scale;2;2;0.9847;0.9794;0.9820;0.9889
rbf;1.00;1;3;0;0.9849;0.9868;0.9859;0.9880
rbf;1.00;1;3;1;0.9996;1.0000;0.9998;0.9999
rbf;1.00;1;3;2;0.9821;0.9792;0.9806;0.9880
rbf;1.00;scale;3;0;0.9853;0.9869;0.9861;0.9882
rbf;1.00;scale;3;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;scale;3;2;0.9823;0.9799;0.9811;0.9883
rbf;1.00;1;4;0;0.9853;0.9854;0.9854;0.9876
rbf;1.00;1;4;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;1;4;2;0.9802;0.9799;0.9801;0.9876
rbf;1.00;scale;4;0;0.9862;0.9864;0.9863;0.9884
rbf;1.00;scale;4;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;scale;4;2;0.9814;0.9811;0.9813;0.9884
rbf;1.00;scale;5;0;0.9849;0.9866;0.9857;0.9879
rbf;1.00;scale;5;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;scale;5;2;0.9816;0.9794;0.9805;0.9879
rbf;1.00;1;5;0;0.9832;0.9859;0.9845;0.9869
rbf;1.00;1;5;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;1;5;2;0.9807;0.9769;0.9788;0.9869
rbf;1.00;10;1;0;0.9897;0.9880;0.9888;0.9905
rbf;1.00;10;1;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;10;1;2;0.9836;0.9859;0.9848;0.9905
rbf;1.00;10;2;0;0.9890;0.9878;0.9884;0.9902
rbf;1.00;10;2;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;10;2;2;0.9834;0.9849;0.9841;0.9902
rbf;1.00;10;3;0;0.9845;0.9849;0.9847;0.9871
rbf;1.00;10;3;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;10;3;2;0.9794;0.9788;0.9791;0.9871
rbf;1.00;10;4;0;0.9824;0.9841;0.9833;0.9858
rbf;1.00;10;4;1;0.9996;1.0000;0.9998;0.9999
rbf;1.00;10;4;2;0.9786;0.9759;0.9772;0.9859
rbf;1.00;0.1;1;0;0.9814;0.9878;0.9846;0.9869
rbf;1.00;0.1;1;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;0.1;1;2;0.9834;0.9743;0.9788;0.9869
rbf;1.00;10;5;0;0.9869;0.9866;0.9867;0.9888
rbf;1.00;10;5;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;10;5;2;0.9816;0.9821;0.9819;0.9888
rbf;1.00;0.1;2;0;0.9830;0.9872;0.9851;0.9873
rbf;1.00;0.1;2;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;0.1;2;2;0.9826;0.9766;0.9796;0.9874
rbf;1.00;0.1;3;0;0.9769;0.9848;0.9808;0.9837
rbf;1.00;0.1;3;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;0.1;3;2;0.9791;0.9681;0.9736;0.9837
rbf;1.00;0.1;4;0;0.9747;0.9850;0.9798;0.9828
rbf;1.00;0.1;4;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;0.1;4;2;0.9794;0.9650;0.9721;0.9829
rbf;1.00;0.1;5;0;0.9777;0.9850;0.9814;0.9842
rbf;1.00;0.1;5;1;0.9998;1.0000;0.9999;0.9999
rbf;1.00;0.1;5;2;0.9795;0.9693;0.9744;0.9842
rbf;10.00;10;1;0;0.9864;0.9853;0.9859;0.9880
rbf;10.00;10;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;10;1;2;0.9799;0.9814;0.9807;0.9880
rbf;10.00;scale;1;0;0.9864;0.9858;0.9861;0.9882
rbf;10.00;scale;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;1;2;0.9806;0.9814;0.9810;0.9882
rbf;10.00;0.1;1;0;0.9813;0.9871;0.9842;0.9866
rbf;10.00;0.1;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;0.1;1;2;0.9822;0.9743;0.9782;0.9866
rbf;0.10;10;1;0;0.9845;0.9835;0.9840;0.9865
rbf;0.10;10;1;1;1.0000;1.0000;1.0000;1.0000
rbf;0.10;10;1;2;0.9775;0.9788;0.9782;0.9865
rbf;10.00;10;2;0;0.9872;0.9885;0.9878;0.9897
rbf;10.00;10;2;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;10;2;2;0.9844;0.9825;0.9834;0.9897
rbf;10.00;scale;2;0;0.9866;0.9888;0.9877;0.9896
rbf;10.00;scale;2;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;scale;2;2;0.9849;0.9816;0.9832;0.9896
rbf;0.10;scale;1;0;0.9824;0.9841;0.9833;0.9858
rbf;0.10;scale;1;1;0.9998;1.0000;0.9999;0.9999
rbf;0.10;scale;1;2;0.9783;0.9757;0.9770;0.9858
rbf;10.00;10;3;0;0.9854;0.9858;0.9856;0.9878
rbf;10.00;10;3;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;10;3;2;0.9806;0.9801;0.9803;0.9878
rbf;10.00;scale;3;0;0.9848;0.9866;0.9857;0.9879
rbf;10.00;scale;3;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;3;2;0.9816;0.9792;0.9804;0.9879
rbf;10.00;0.1;2;0;0.9839;0.9892;0.9865;0.9886
rbf;10.00;0.1;2;1;0.9996;1.0000;0.9998;0.9999
rbf;10.00;0.1;2;2;0.9855;0.9778;0.9816;0.9887
rbf;10.00;10;4;0;0.9864;0.9850;0.9857;0.9879
rbf;10.00;10;4;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;10;4;2;0.9797;0.9814;0.9806;0.9880
rbf;0.10;10;2;0;0.9858;0.9877;0.9868;0.9888
rbf;0.10;10;2;1;0.9994;1.0000;0.9997;0.9998
rbf;0.10;10;2;2;0.9836;0.9806;0.9821;0.9889
rbf;10.00;scale;4;0;0.9862;0.9853;0.9857;0.9879
rbf;10.00;scale;4;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;scale;4;2;0.9801;0.9811;0.9806;0.9880
rbf;0.10;scale;2;0;0.9838;0.9878;0.9858;0.9880
rbf;0.10;scale;2;1;0.9994;1.0000;0.9997;0.9998
rbf;0.10;scale;2;2;0.9838;0.9778;0.9808;0.9881
rbf;10.00;10;5;0;0.9888;0.9864;0.9876;0.9895
rbf;10.00;10;5;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;10;5;2;0.9815;0.9847;0.9831;0.9895
rbf;10.00;scale;5;0;0.9884;0.9869;0.9877;0.9896
rbf;10.00;scale;5;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;5;2;0.9822;0.9842;0.9832;0.9896
rbf;10.00;0.1;3;0;0.9813;0.9874;0.9844;0.9867
rbf;10.00;0.1;3;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;0.1;3;2;0.9827;0.9743;0.9785;0.9867
rbf;0.10;10;3;0;0.9840;0.9841;0.9841;0.9865
rbf;0.10;10;3;1;0.9998;1.0000;0.9999;0.9999
rbf;0.10;10;3;2;0.9783;0.9780;0.9781;0.9865
rbf;0.10;scale;3;0;0.9824;0.9844;0.9834;0.9859
rbf;0.10;scale;3;1;0.9998;1.0000;0.9999;0.9999
rbf;0.10;scale;3;2;0.9786;0.9757;0.9772;0.9859
rbf;10.00;0.1;4;0;0.9828;0.9869;0.9849;0.9872
rbf;10.00;0.1;4;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;0.1;4;2;0.9822;0.9764;0.9793;0.9872
rbf;0.10;10;4;0;0.9846;0.9839;0.9843;0.9867
rbf;0.10;10;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.10;10;4;2;0.9780;0.9790;0.9785;0.9867
rbf;0.10;scale;4;0;0.9832;0.9844;0.9838;0.9862
rbf;0.10;scale;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.10;scale;4;2;0.9786;0.9769;0.9778;0.9862
rbf;10.00;0.1;5;0;0.9837;0.9886;0.9861;0.9882
rbf;10.00;0.1;5;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;0.1;5;2;0.9843;0.9776;0.9809;0.9882
rbf;0.10;10;5;0;0.9863;0.9862;0.9862;0.9883
rbf;0.10;10;5;1;0.9998;1.0000;0.9999;0.9999
rbf;0.10;10;5;2;0.9813;0.9813;0.9813;0.9884
rbf;0.10;scale;5;0;0.9844;0.9866;0.9855;0.9877
rbf;0.10;scale;5;1;0.9996;1.0000;0.9998;0.9999
rbf;0.10;scale;5;2;0.9819;0.9787;0.9803;0.9878
rbf;0.10;0.1;1;0;0.9674;0.9853;0.9763;0.9797
rbf;0.10;0.1;1;1;0.9996;0.9992;0.9994;0.9997
rbf;0.10;0.1;1;2;0.9795;0.9551;0.9672;0.9799
rbf;0.10;0.1;2;0;0.9722;0.9857;0.9789;0.9820
rbf;0.10;0.1;2;1;0.9988;0.9998;0.9993;0.9996
rbf;0.10;0.1;2;2;0.9804;0.9610;0.9706;0.9820
rbf;0.10;0.1;3;0;0.9701;0.9835;0.9768;0.9802
rbf;0.10;0.1;3;1;0.9990;0.9996;0.9993;0.9996
rbf;0.10;0.1;3;2;0.9774;0.9584;0.9678;0.9802
rbf;0.10;0.1;4;0;0.9716;0.9847;0.9781;0.9813
rbf;0.10;0.1;4;1;0.9998;1.0000;0.9999;0.9999
rbf;0.10;0.1;4;2;0.9788;0.9606;0.9696;0.9814
rbf;0.10;0.1;5;0;0.9719;0.9857;0.9787;0.9818
rbf;0.10;0.1;5;1;1.0000;0.9996;0.9998;0.9999
rbf;0.10;0.1;5;2;0.9800;0.9613;0.9706;0.9820
