kernel;c_value;gamma;coef0;iteration;class;precision;recall;f1;accuracy
sigmoid;1.00;scale;0;1;0;0.4041;0.4994;0.4467;0.4760
sigmoid;1.00;scale;0;1;1;0.0000;0.0000;0.0000;0.2567
sigmoid;1.00;scale;0;1;2;0.0000;0.0000;0.0000;0.6903
sigmoid;1.00;1;0;1;0;0.7588;0.0435;0.0823;0.5890
sigmoid;1.00;1;0;1;1;0.0018;0.0030;0.0023;0.2865
sigmoid;1.00;1;0;1;2;0.0684;0.1166;0.0862;0.2352
sigmoid;1.00;scale;0;2;0;0.4054;0.4980;0.4470;0.4780
sigmoid;1.00;scale;0;2;1;0.0000;0.0000;0.0000;0.2536
sigmoid;1.00;scale;0;2;2;0.0000;0.0000;0.0000;0.6903
sigmoid;1.00;1;0;2;0;0.7236;0.0435;0.0821;0.5878
sigmoid;1.00;1;0;2;1;0.0005;0.0008;0.0006;0.2898
sigmoid;1.00;1;0;2;2;0.0709;0.1214;0.0895;0.2348
sigmoid;1.00;1;0;3;0;0.4125;0.4514;0.4311;0.4954
sigmoid;1.00;1;0;3;1;0.0000;0.0000;0.0000;0.7333
sigmoid;1.00;1;0;3;2;0.0711;0.1231;0.0901;0.2300
sigmoid;1.00;scale;0;3;0;0.0000;0.0000;0.0000;0.5765
sigmoid;1.00;scale;0;3;1;0.0000;0.0000;0.0000;0.2613
sigmoid;1.00;scale;0;3;2;0.0807;0.1375;0.1017;0.2474
sigmoid;1.00;1;0;4;0;0.7361;0.0435;0.0821;0.5883
sigmoid;1.00;1;0;4;1;0.0019;0.0032;0.0024;0.2932
sigmoid;1.00;1;0;4;2;0.0660;0.1136;0.0835;0.2274
sigmoid;1.00;scale;0;4;0;0.4067;0.5031;0.4498;0.4788
sigmoid;1.00;scale;0;4;1;0.0000;0.0000;0.0000;0.2571
sigmoid;1.00;scale;0;4;2;0.0000;0.0000;0.0000;0.6903
sigmoid;1.00;scale;0;5;0;0.4044;0.4949;0.4451;0.4774
sigmoid;1.00;scale;0;5;1;0.0000;0.0000;0.0000;0.2515
sigmoid;1.00;scale;0;5;2;0.0000;0.0000;0.0000;0.6903
sigmoid;1.00;1;0;5;0;0.7407;0.0427;0.0808;0.5883
sigmoid;1.00;1;0;5;1;0.0002;0.0004;0.0003;0.2893
sigmoid;1.00;1;0;5;2;0.0715;0.1226;0.0903;0.2348
