kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
rbf;1.10;0.00;1;0;0.9876;0.9917;0.9896;0.9931
rbf;1.10;0.00;1;1;1.0000;1.0000;1.0000;1.0000
rbf;1.10;0.00;1;2;0.9916;0.9875;0.9896;0.9931
rbf;1.10;0.00;2;0;0.9795;0.9938;0.9866;0.9910
rbf;1.10;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;1.10;0.00;2;2;0.9937;0.9792;0.9864;0.9910
poly;1.10;0.00;1;0;0.9832;0.9771;0.9801;0.9868
poly;1.10;0.00;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.10;0.00;1;2;0.9772;0.9833;0.9803;0.9868
rbf;1.10;0.00;3;0;0.9835;0.9958;0.9896;0.9931
rbf;1.10;0.00;3;1;1.0000;1.0000;1.0000;1.0000
rbf;1.10;0.00;3;2;0.9958;0.9833;0.9895;0.9931
poly;1.10;0.00;2;0;0.9793;0.9875;0.9834;0.9889
poly;1.10;0.00;2;1;1.0000;1.0000;1.0000;1.0000
poly;1.10;0.00;2;2;0.9874;0.9792;0.9833;0.9889
rbf;1.10;0.00;4;0;0.9815;0.9938;0.9876;0.9917
rbf;1.10;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;1.10;0.00;4;2;0.9937;0.9812;0.9874;0.9917
rbf;1.10;0.00;5;0;0.9774;0.9917;0.9845;0.9896
rbf;1.10;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;1.10;0.00;5;2;0.9915;0.9771;0.9843;0.9896
poly;1.10;0.00;3;0;0.9813;0.9854;0.9834;0.9889
poly;1.10;0.00;3;1;1.0000;1.0000;1.0000;1.0000
poly;1.10;0.00;3;2;0.9854;0.9812;0.9833;0.9889
rbf;1.10;0.00;6;0;0.9814;0.9917;0.9865;0.9910
rbf;1.10;0.00;6;1;1.0000;1.0000;1.0000;1.0000
rbf;1.10;0.00;6;2;0.9916;0.9812;0.9864;0.9910
rbf;1.10;0.00;7;0;0.9835;0.9917;0.9876;0.9917
rbf;1.10;0.00;7;1;1.0000;1.0000;1.0000;1.0000
rbf;1.10;0.00;7;2;0.9916;0.9833;0.9874;0.9917
poly;1.10;0.00;4;0;0.9834;0.9896;0.9865;0.9910
poly;1.10;0.00;4;1;1.0000;1.0000;1.0000;1.0000
poly;1.10;0.00;4;2;0.9895;0.9833;0.9864;0.9910
rbf;1.10;0.00;8;0;0.9876;0.9917;0.9896;0.9931
