kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
linear;0.10;0.00;1;0;0.9811;0.9883;0.9847;0.9870
linear;0.10;0.00;1;1;0.9994;1.0000;0.9997;0.9998
linear;0.10;0.00;1;2;0.9843;0.9740;0.9791;0.9871
linear;0.10;0.00;2;0;0.9790;0.9885;0.9837;0.9861
linear;0.10;0.00;2;1;0.9986;1.0000;0.9993;0.9996
linear;0.10;0.00;2;2;0.9852;0.9710;0.9780;0.9865
linear;0.40;0.00;1;0;0.9811;0.9882;0.9846;0.9869
linear;0.40;0.00;1;1;0.9993;0.9999;0.9996;0.9998
linear;0.40;0.00;1;2;0.9843;0.9740;0.9791;0.9871
linear;0.10;0.00;3;0;0.9803;0.9871;0.9837;0.9862
linear;0.10;0.00;3;1;0.9987;0.9999;0.9993;0.9996
linear;0.10;0.00;3;2;0.9833;0.9730;0.9782;0.9865
linear;0.70;0.00;1;0;0.9811;0.9882;0.9846;0.9869
linear;0.70;0.00;1;1;0.9993;0.9999;0.9996;0.9998
linear;0.70;0.00;1;2;0.9843;0.9740;0.9791;0.9871
linear;0.10;0.00;4;0;0.9821;0.9862;0.9841;0.9865
linear;0.10;0.00;4;1;0.9976;0.9999;0.9987;0.9993
linear;0.10;0.00;4;2;0.9830;0.9756;0.9793;0.9872
linear;0.10;0.00;5;0;0.9805;0.9867;0.9836;0.9861
linear;0.10;0.00;5;1;0.9987;0.9997;0.9992;0.9996
linear;0.10;0.00;5;2;0.9827;0.9734;0.9780;0.9865
linear;0.40;0.00;2;0;0.9790;0.9885;0.9837;0.9861
linear;0.40;0.00;2;1;0.9986;1.0000;0.9993;0.9996
linear;0.40;0.00;2;2;0.9852;0.9710;0.9780;0.9865
linear;0.20;0.00;1;0;0.9811;0.9882;0.9846;0.9869
linear;0.20;0.00;1;1;0.9993;0.9999;0.9996;0.9998
linear;0.20;0.00;1;2;0.9843;0.9740;0.9791;0.9871
linear;0.70;0.00;2;0;0.9790;0.9885;0.9837;0.9861
linear;0.70;0.00;2;1;0.9986;1.0000;0.9993;0.9996
linear;0.70;0.00;2;2;0.9852;0.9710;0.9780;0.9865
linear;0.40;0.00;3;0;0.9803;0.9871;0.9837;0.9862
linear;0.40;0.00;3;1;0.9987;0.9999;0.9993;0.9996
linear;0.40;0.00;3;2;0.9833;0.9730;0.9782;0.9865
linear;0.20;0.00;2;0;0.9790;0.9885;0.9837;0.9861
linear;0.20;0.00;2;1;0.9986;1.0000;0.9993;0.9996
linear;0.20;0.00;2;2;0.9852;0.9710;0.9780;0.9865
linear;0.20;0.00;3;0;0.9803;0.9871;0.9837;0.9862
linear;0.20;0.00;3;1;0.9987;0.9999;0.9993;0.9996
linear;0.20;0.00;3;2;0.9833;0.9730;0.9782;0.9865
linear;0.40;0.00;4;0;0.9821;0.9862;0.9841;0.9865
linear;0.40;0.00;4;1;0.9976;0.9999;0.9987;0.9993
linear;0.40;0.00;4;2;0.9830;0.9756;0.9793;0.9872
linear;0.20;0.00;4;0;0.9821;0.9862;0.9842;0.9866
linear;0.20;0.00;4;1;0.9977;0.9999;0.9988;0.9994
linear;0.20;0.00;4;2;0.9830;0.9756;0.9793;0.9872
linear;0.70;0.00;3;0;0.9803;0.9871;0.9837;0.9862
linear;0.70;0.00;3;1;0.9987;0.9999;0.9993;0.9996
linear;0.70;0.00;3;2;0.9833;0.9730;0.9782;0.9865
linear;0.20;0.00;5;0;0.9805;0.9868;0.9836;0.9861
linear;0.20;0.00;5;1;0.9989;0.9997;0.9993;0.9996
linear;0.20;0.00;5;2;0.9827;0.9734;0.9780;0.9865
linear;0.40;0.00;5;0;0.9805;0.9868;0.9836;0.9861
linear;0.40;0.00;5;1;0.9989;0.9997;0.9993;0.9996
linear;0.40;0.00;5;2;0.9827;0.9734;0.9780;0.9865
linear;0.30;0.00;1;0;0.9811;0.9882;0.9846;0.9869
linear;0.30;0.00;1;1;0.9993;0.9999;0.9996;0.9998
linear;0.30;0.00;1;2;0.9843;0.9740;0.9791;0.9871
linear;0.70;0.00;4;0;0.9821;0.9862;0.9841;0.9865
linear;0.70;0.00;4;1;0.9976;0.9999;0.9987;0.9993
linear;0.70;0.00;4;2;0.9830;0.9756;0.9793;0.9872
linear;0.50;0.00;1;0;0.9811;0.9882;0.9846;0.9869
linear;0.50;0.00;1;1;0.9993;0.9999;0.9996;0.9998
linear;0.50;0.00;1;2;0.9843;0.9740;0.9791;0.9871
linear;0.30;0.00;2;0;0.9790;0.9885;0.9837;0.9861
linear;0.30;0.00;2;1;0.9986;1.0000;0.9993;0.9996
linear;0.30;0.00;2;2;0.9852;0.9710;0.9780;0.9865
linear;0.50;0.00;2;0;0.9790;0.9885;0.9837;0.9861
linear;0.50;0.00;2;1;0.9986;1.0000;0.9993;0.9996
linear;0.50;0.00;2;2;0.9852;0.9710;0.9780;0.9865
linear;0.30;0.00;3;0;0.9803;0.9871;0.9837;0.9862
linear;0.30;0.00;3;1;0.9987;0.9999;0.9993;0.9996
linear;0.30;0.00;3;2;0.9833;0.9730;0.9782;0.9865
linear;0.70;0.00;5;0;0.9805;0.9868;0.9836;0.9861
linear;0.70;0.00;5;1;0.9989;0.9997;0.9993;0.9996
linear;0.70;0.00;5;2;0.9827;0.9734;0.9780;0.9865
linear;0.30;0.00;4;0;0.9821;0.9862;0.9841;0.9865
linear;0.30;0.00;4;1;0.9976;0.9999;0.9987;0.9993
linear;0.30;0.00;4;2;0.9830;0.9756;0.9793;0.9872
linear;0.50;0.00;3;0;0.9803;0.9871;0.9837;0.9862
linear;0.50;0.00;3;1;0.9987;0.9999;0.9993;0.9996
linear;0.50;0.00;3;2;0.9833;0.9730;0.9782;0.9865
linear;0.30;0.00;5;0;0.9805;0.9868;0.9836;0.9861
linear;0.30;0.00;5;1;0.9989;0.9997;0.9993;0.9996
linear;0.30;0.00;5;2;0.9827;0.9734;0.9780;0.9865
linear;0.80;0.00;1;0;0.9811;0.9882;0.9846;0.9869
linear;0.80;0.00;1;1;0.9993;0.9999;0.9996;0.9998
linear;0.80;0.00;1;2;0.9843;0.9740;0.9791;0.9871
linear;0.50;0.00;4;0;0.9821;0.9862;0.9841;0.9865
linear;0.50;0.00;4;1;0.9976;0.9999;0.9987;0.9993
linear;0.50;0.00;4;2;0.9830;0.9756;0.9793;0.9872
linear;0.50;0.00;5;0;0.9805;0.9868;0.9836;0.9861
linear;0.50;0.00;5;1;0.9989;0.9997;0.9993;0.9996
linear;0.50;0.00;5;2;0.9827;0.9734;0.9780;0.9865
linear;0.80;0.00;2;0;0.9790;0.9885;0.9837;0.9861
linear;0.80;0.00;2;1;0.9986;1.0000;0.9993;0.9996
linear;0.80;0.00;2;2;0.9852;0.9710;0.9780;0.9865
linear;1.00;0.00;1;0;0.9811;0.9882;0.9846;0.9869
linear;1.00;0.00;1;1;0.9993;0.9999;0.9996;0.9998
linear;1.00;0.00;1;2;0.9843;0.9740;0.9791;0.9871
poly;0.50;0.00;1;0;0.9819;0.9870;0.9845;0.9868
poly;0.50;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.50;0.00;1;2;0.9824;0.9751;0.9787;0.9869
poly;0.30;0.00;1;0;0.9814;0.9869;0.9842;0.9865
poly;0.30;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.30;0.00;1;2;0.9823;0.9744;0.9783;0.9866
poly;0.10;0.00;1;0;0.9794;0.9871;0.9832;0.9857
poly;0.10;0.00;1;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;0.00;1;2;0.9827;0.9716;0.9771;0.9859
poly;0.50;0.00;2;0;0.9817;0.9894;0.9855;0.9877
poly;0.50;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;0.50;0.00;2;2;0.9856;0.9747;0.9802;0.9878
poly;0.30;0.00;2;0;0.9807;0.9898;0.9852;0.9874
poly;0.30;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;0.30;0.00;2;2;0.9861;0.9734;0.9797;0.9875
poly;0.10;0.00;2;0;0.9786;0.9899;0.9842;0.9865
poly;0.10;0.00;2;1;0.9993;1.0000;0.9996;0.9998
poly;0.10;0.00;2;2;0.9865;0.9704;0.9784;0.9867
poly;0.50;0.00;3;0;0.9821;0.9885;0.9853;0.9875
poly;0.50;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.50;0.00;3;2;0.9844;0.9754;0.9799;0.9876
poly;0.30;0.00;3;0;0.9815;0.9885;0.9850;0.9873
poly;0.30;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.30;0.00;3;2;0.9844;0.9745;0.9794;0.9873
poly;0.10;0.00;3;0;0.9794;0.9888;0.9841;0.9865
poly;0.10;0.00;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;0.00;3;2;0.9849;0.9716;0.9782;0.9866
poly;0.50;0.00;4;0;0.9816;0.9878;0.9847;0.9870
poly;0.50;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.50;0.00;4;2;0.9833;0.9746;0.9790;0.9870
poly;0.30;0.00;4;0;0.9809;0.9879;0.9844;0.9867
poly;0.30;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.30;0.00;4;2;0.9834;0.9737;0.9785;0.9868
poly;0.10;0.00;4;0;0.9794;0.9880;0.9837;0.9861
poly;0.10;0.00;4;1;0.9997;1.0000;0.9999;0.9999
poly;0.10;0.00;4;2;0.9837;0.9716;0.9776;0.9862
poly;0.50;0.00;5;0;0.9810;0.9885;0.9847;0.9870
poly;0.50;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.50;0.00;5;2;0.9845;0.9738;0.9791;0.9871
poly;0.30;0.00;5;0;0.9807;0.9886;0.9847;0.9870
poly;0.30;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.30;0.00;5;2;0.9846;0.9734;0.9790;0.9871
poly;0.10;0.00;5;0;0.9787;0.9892;0.9839;0.9863
poly;0.10;0.00;5;1;0.9993;1.0000;0.9996;0.9998
poly;0.10;0.00;5;2;0.9856;0.9706;0.9780;0.9865
poly;0.60;0.00;1;0;0.9823;0.9871;0.9847;0.9870
poly;0.60;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.60;0.00;1;2;0.9825;0.9757;0.9791;0.9871
poly;0.40;0.00;1;0;0.9816;0.9870;0.9843;0.9867
poly;0.40;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.40;0.00;1;2;0.9824;0.9747;0.9785;0.9868
poly;0.20;0.00;1;0;0.9808;0.9869;0.9838;0.9863
poly;0.20;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.20;0.00;1;2;0.9822;0.9735;0.9779;0.9864
poly;0.60;0.00;2;0;0.9820;0.9893;0.9857;0.9878
poly;0.60;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;0.60;0.00;2;2;0.9855;0.9752;0.9804;0.9879
poly;0.40;0.00;2;0;0.9812;0.9895;0.9854;0.9876
poly;0.40;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;0.40;0.00;2;2;0.9857;0.9741;0.9799;0.9876
poly;0.20;0.00;2;0;0.9800;0.9898;0.9849;0.9871
poly;0.20;0.00;2;1;0.9994;1.0000;0.9997;0.9998
poly;0.20;0.00;2;2;0.9863;0.9723;0.9793;0.9873
poly;0.60;0.00;3;0;0.9824;0.9885;0.9854;0.9876
poly;0.60;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.60;0.00;3;2;0.9844;0.9757;0.9801;0.9877
poly;0.40;0.00;3;0;0.9821;0.9885;0.9853;0.9875
poly;0.40;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.40;0.00;3;2;0.9844;0.9754;0.9799;0.9876
poly;0.60;0.00;4;0;0.9818;0.9879;0.9849;0.9871
poly;0.60;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.60;0.00;4;2;0.9835;0.9750;0.9792;0.9872
poly;0.20;0.00;3;0;0.9806;0.9884;0.9845;0.9868
poly;0.20;0.00;3;1;0.9996;1.0000;0.9998;0.9999
poly;0.20;0.00;3;2;0.9843;0.9733;0.9788;0.9869
poly;0.40;0.00;4;0;0.9816;0.9879;0.9847;0.9870
poly;0.40;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.40;0.00;4;2;0.9835;0.9746;0.9790;0.9871
poly;0.60;0.00;5;0;0.9810;0.9885;0.9847;0.9870
poly;0.60;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.60;0.00;5;2;0.9845;0.9738;0.9791;0.9871
poly;0.40;0.00;5;0;0.9809;0.9885;0.9847;0.9870
poly;0.40;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.40;0.00;5;2;0.9845;0.9737;0.9791;0.9871
poly;0.20;0.00;4;0;0.9804;0.9880;0.9842;0.9865
poly;0.20;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.20;0.00;4;2;0.9836;0.9729;0.9782;0.9866
poly;0.70;0.00;1;0;0.9823;0.9871;0.9847;0.9870
poly;0.70;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.70;0.00;1;2;0.9825;0.9757;0.9791;0.9871
poly;0.90;0.00;1;0;0.9828;0.9873;0.9850;0.9873
poly;0.90;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.90;0.00;1;2;0.9828;0.9763;0.9795;0.9874
poly;0.20;0.00;5;0;0.9803;0.9889;0.9846;0.9869
poly;0.20;0.00;5;1;0.9993;1.0000;0.9996;0.9998
poly;0.20;0.00;5;2;0.9852;0.9728;0.9790;0.9871
poly;0.70;0.00;2;0;0.9821;0.9893;0.9857;0.9879
poly;0.70;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;0.70;0.00;2;2;0.9855;0.9754;0.9804;0.9879
poly;0.90;0.00;2;0;0.9822;0.9893;0.9858;0.9879
poly;0.90;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;0.90;0.00;2;2;0.9855;0.9755;0.9805;0.9880
rbf;0.10;0.00;1;0;0.9837;0.9829;0.9833;0.9858
rbf;0.10;0.00;1;1;0.9996;1.0000;0.9998;0.9999
rbf;0.10;0.00;1;2;0.9768;0.9775;0.9772;0.9859
poly;0.70;0.00;3;0;0.9825;0.9885;0.9855;0.9877
poly;0.70;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.70;0.00;3;2;0.9844;0.9760;0.9802;0.9878
poly;0.90;0.00;3;0;0.9826;0.9887;0.9857;0.9878
poly;0.90;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.90;0.00;3;2;0.9847;0.9761;0.9804;0.9879
