kernel;c_value;gamma;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
linear;0.1;0.0;0.9876333333333334;0.008181483158124017;0.9868866666666667;0.011252038968666122;0.98724;0.009090481678264206;0.9909066666666667;0.006357163188838554;15
linear;0.2;0.0;0.9876466666666667;0.008199465720108743;0.98688;0.011242788164609595;0.9872466666666667;0.009098812062702534;0.9909133333333333;0.006366190458380983;15
linear;0.3;0.0;0.9876400000000001;0.00819074390481634;0.98688;0.011242788164609595;0.9872333333333334;0.00909219969193899;0.9909;0.006361603571427579;15
linear;0.4;0.0;0.9876400000000001;0.00819074390481634;0.98688;0.011242788164609595;0.9872333333333334;0.00909219969193899;0.9909;0.006361603571427579;15
linear;0.5;0.0;0.9876400000000001;0.00819074390481634;0.98688;0.011242788164609595;0.9872333333333334;0.00909219969193899;0.9909;0.006361603571427579;15
linear;0.7;0.0;0.9876400000000001;0.00819074390481634;0.98688;0.011242788164609595;0.9872333333333334;0.00909219969193899;0.9909;0.006361603571427579;15
linear;0.8;0.0;0.9879166666666667;0.008833440250925282;0.9869333333333333;0.012361822950789522;0.9873833333333333;0.009687397311283718;0.991;0.006748036751530052;6
linear;1.0;0.0;0.9882333333333332;0.009716652372773934;0.9873666666666666;0.012970093805880255;0.9877666666666668;0.010610529361598044;0.9912666666666666;0.007390759997005297;3
poly;0.1;0.0;0.9877466666666667;0.008931314626211568;0.9865866666666666;0.012293835079111016;0.9871333333333333;0.00955717132887781;0.9908133333333333;0.006611987670313743;15
poly;0.2;0.0;0.9881066666666667;0.008600703182769141;0.9871200000000001;0.011481923681533992;0.9876066666666666;0.009244571122453197;0.9911533333333333;0.006392949986024415;15
poly;0.3;0.0;0.9883066666666667;0.008493734385388084;0.9874066666666667;0.011077033297172417;0.9878533333333334;0.009136572244608612;0.99132;0.006301042997563406;15
poly;0.4;0.0;0.9884333333333334;0.008364522586211252;0.9875933333333333;0.010804064490913116;0.9880133333333333;0.009011410755787578;0.9914400000000001;0.006212981800805702;15
poly;0.5;0.0;0.9884733333333333;0.008321956042959646;0.9876533333333334;0.010706998156524055;0.9880666666666666;0.008969525124128989;0.9914666666666666;0.006194313828788774;15
poly;0.6;0.0;0.9885666666666667;0.008243063461971853;0.9877800000000001;0.010553753563813892;0.98818;0.008882824518618592;0.9915400000000001;0.006140241968242909;15
poly;0.7;0.0;0.9886;0.008221574406054222;0.9878266666666666;0.01051396803350304;0.9882066666666667;0.008864331951838283;0.9915733333333333;0.006116776306270532;15
poly;0.8;0.0;0.98872;0.00812818728693113;0.9879533333333334;0.010385282626779827;0.9883400000000001;0.00876256648639949;0.9916666666666667;0.006045502066668683;15
poly;0.9;0.0;0.9887266666666666;0.008122672560420605;0.98796;0.010383971164388753;0.9883533333333333;0.0087540086055856;0.9916733333333333;0.006041105228429022;15
poly;1.0;0.0;0.98872;0.008128275164071242;0.9879666666666667;0.01036998874959209;0.9883466666666667;0.008755640358947952;0.99168;0.00603598731419665;15
poly;10.0;0.0;0.98882;0.008024889852381601;0.9881;0.010139878838385739;0.9884466666666667;0.008617164487783904;0.9917466666666667;0.005972061939525058;15
poly;100.0;0.0;0.9889733333333334;0.008023489325248758;0.9880933333333334;0.01057986407330094;0.9885266666666667;0.00857725119693007;0.99182;0.005932140061924184;15
rbf;0.1;0.0;0.98776;0.008953594649237668;0.9876199999999999;0.0096074524644748;0.9876866666666667;0.009236021613124102;0.9912066666666667;0.006398935923447037;15
rbf;0.2;0.0;0.9883799999999999;0.008565979220147582;0.9882066666666667;0.009177337512019691;0.9882866666666668;0.008831830959389908;0.9916400000000001;0.00611179188127344;15
rbf;0.3;0.0;0.9884799999999999;0.008560974577364754;0.9883000000000001;0.009107689059250988;0.9883799999999999;0.008791083144706505;0.9916999999999999;0.0060801785688063045;15
rbf;0.4;0.0;0.9886733333333333;0.008443887617397464;0.9885266666666667;0.008932642119669586;0.9885933333333334;0.008638077387496652;0.9918533333333334;0.0059654800629079805;15
rbf;0.5;0.0;0.9887;0.008405950273467007;0.9885466666666667;0.008935152622140953;0.9886266666666667;0.008614561315973482;0.9918600000000001;0.0059580437825083;15
rbf;0.6;0.0;0.9887333333333334;0.008365376489407033;0.98856;0.008932428881009105;0.98864;0.008595995745528436;0.9918733333333333;0.0059445613398979745;15
rbf;0.7;0.0;0.9888466666666667;0.008304376356275461;0.9886266666666667;0.008892329492856394;0.9887333333333334;0.008526317800674296;0.9919600000000001;0.005895494647852486;15
rbf;0.8;0.0;0.9888466666666667;0.008288362466793571;0.9886400000000001;0.008877885848717414;0.9887400000000001;0.008507207028665241;0.9919600000000001;0.005895979259509948;15
rbf;0.9;0.0;0.9888533333333334;0.008288448645698478;0.9886533333333334;0.00886355835241505;0.9887466666666666;0.008505281272468863;0.9919733333333334;0.0058874523554840906;15
rbf;1.0;0.0;0.9888666666666667;0.008282224223917039;0.98866;0.008868628497607252;0.9887533333333334;0.008494020305625662;0.9919733333333334;0.005886117646834874;15
rbf;10.0;0.0;0.9891333333333333;0.008242023561052966;0.9891466666666666;0.008240220755249108;0.9891266666666667;0.008216052811996992;0.9922266666666667;0.00569592168217961;15
rbf;100.0;0.0;0.9890533333333333;0.008353858532495768;0.9890066666666667;0.008467877678672043;0.9890266666666666;0.008339532931993831;0.9921533333333333;0.005772578857552898;15
