kernel;c_value;gamma;degree;iteration;class;precision;recall;f1;accuracy
rbf;10.00;scale;0;1;0;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;1;2;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;2;0;1.0000;0.9747;0.9872;0.9888
rbf;10.00;scale;0;2;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;2;2;0.9636;1.0000;0.9815;0.9888
rbf;10.00;scale;0;3;0;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;3;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;3;2;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;4;0;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;4;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;4;2;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;5;0;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;5;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;5;2;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;1;0;0.9841;0.9873;0.9857;0.9878
rbf;10.00;scale;0;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;1;2;0.9821;0.9777;0.9799;0.9878
rbf;10.00;scale;0;2;0;0.9936;0.9873;0.9904;0.9918
rbf;10.00;scale;0;2;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;2;2;0.9823;0.9911;0.9867;0.9918
rbf;10.00;scale;0;3;0;0.9936;0.9936;0.9936;0.9946
rbf;10.00;scale;0;3;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;3;2;0.9911;0.9911;0.9911;0.9946
rbf;10.00;scale;0;4;0;0.9872;0.9840;0.9856;0.9878
rbf;10.00;scale;0;4;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;4;2;0.9778;0.9821;0.9800;0.9878
rbf;10.00;scale;0;5;0;0.9968;0.9809;0.9888;0.9905
rbf;10.00;scale;0;5;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;5;2;0.9737;0.9955;0.9845;0.9905
rbf;10.00;scale;0;1;0;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;1;2;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;2;0;1.0000;0.8750;0.9333;0.9444
rbf;10.00;scale;0;2;1;0.8333;1.0000;0.9091;0.9444
rbf;10.00;scale;0;2;2;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;3;0;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;3;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;0;3;2;1.0000;1.0000;1.0000;1.0000
