kernel;c_value;gamma;degree;class;precision;recall;f1;accuracy
poly;1.00;scale;2;0;0.9853;0.9873;0.9863;0.9884
poly;1.00;scale;2;1;0.9991;1.0000;0.9995;0.9997
poly;1.00;scale;2;2;0.9833;0.9798;0.9816;0.9886
poly;1.00;scale;3;0;0.9838;0.9877;0.9858;0.9879
poly;1.00;scale;3;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;3;2;0.9835;0.9778;0.9806;0.9880
poly;1.00;scale;4;0;0.9812;0.9880;0.9846;0.9869
poly;1.00;scale;4;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;4;2;0.9838;0.9741;0.9789;0.9870
poly;1.00;scale;5;0;0.9751;0.9898;0.9824;0.9850
poly;1.00;scale;5;1;0.9997;1.0000;0.9999;0.9999
poly;1.00;scale;5;2;0.9860;0.9654;0.9756;0.9851
poly;1.00;scale;6;0;0.9654;0.9921;0.9785;0.9816
poly;1.00;scale;6;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;scale;6;2;0.9889;0.9514;0.9698;0.9816
