kernel;c_value;gamma;degree;iteration;class;precision;recall;f1;accuracy
poly;1.00;scale;2;1;0;0.9842;0.9886;0.9864;0.9885
poly;1.00;scale;2;1;1;0.9984;1.0000;0.9992;0.9996
poly;1.00;scale;2;1;2;0.9857;0.9783;0.9820;0.9889
poly;1.00;scale;3;1;0;0.9840;0.9893;0.9867;0.9887
poly;1.00;scale;3;1;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;scale;3;1;2;0.9855;0.9780;0.9817;0.9887
poly;1.00;scale;4;1;0;0.9811;0.9900;0.9855;0.9877
poly;1.00;scale;4;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;4;1;2;0.9861;0.9740;0.9800;0.9877
poly;1.00;scale;2;2;0;0.9822;0.9871;0.9846;0.9869
poly;1.00;scale;2;2;1;0.9990;1.0000;0.9995;0.9997
poly;1.00;scale;2;2;2;0.9830;0.9755;0.9793;0.9872
poly;1.00;scale;3;2;0;0.9814;0.9881;0.9847;0.9870
poly;1.00;scale;3;2;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;3;2;2;0.9839;0.9743;0.9791;0.9871
poly;1.00;scale;2;3;0;0.9811;0.9880;0.9845;0.9868
poly;1.00;scale;2;3;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;2;3;2;0.9837;0.9740;0.9788;0.9869
poly;1.00;scale;4;2;0;0.9784;0.9882;0.9833;0.9858
poly;1.00;scale;4;2;1;0.9998;0.9998;0.9998;0.9999
poly;1.00;scale;4;2;2;0.9838;0.9703;0.9770;0.9859
poly;1.00;scale;3;3;0;0.9799;0.9880;0.9839;0.9863
poly;1.00;scale;3;3;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;scale;3;3;2;0.9835;0.9723;0.9778;0.9864
poly;1.00;scale;2;4;0;0.9828;0.9882;0.9855;0.9877
poly;1.00;scale;2;4;1;0.9982;1.0000;0.9991;0.9995
poly;1.00;scale;2;4;2;0.9853;0.9764;0.9808;0.9882
poly;1.00;scale;2;5;0;0.9821;0.9888;0.9855;0.9876
poly;1.00;scale;2;5;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;2;5;2;0.9849;0.9754;0.9801;0.9878
poly;1.00;scale;3;4;0;0.9825;0.9888;0.9857;0.9878
poly;1.00;scale;3;4;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;3;4;2;0.9849;0.9759;0.9804;0.9879
poly;1.00;scale;4;3;0;0.9772;0.9887;0.9829;0.9854
poly;1.00;scale;4;3;1;1.0000;0.9998;0.9999;0.9999
poly;1.00;scale;4;3;2;0.9843;0.9686;0.9764;0.9855
poly;1.00;scale;3;5;0;0.9805;0.9882;0.9843;0.9867
poly;1.00;scale;3;5;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;3;5;2;0.9837;0.9731;0.9784;0.9867
poly;1.00;scale;4;4;0;0.9789;0.9893;0.9841;0.9865
poly;1.00;scale;4;4;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;4;4;2;0.9856;0.9709;0.9782;0.9866
poly;1.00;scale;4;5;0;0.9772;0.9892;0.9832;0.9857
poly;1.00;scale;4;5;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;4;5;2;0.9850;0.9684;0.9767;0.9857
